,Surname,Surname Number,Awards,DBLP,Education Text,Text Vector
320,David C. Evans,1174,2,67,"Evans became a faculty member of the      University of California, Berkeley University of California, BerkeleyIn 1965, the University of Utah recruited him back to start their own computer science departmentIn 1996,      Brigham Young University Brigham Young University established the David C","[-0.5569357   0.7625793  -0.16245484  1.0425004  -0.4449943  -0.14406085
  0.06884173  0.43809292  0.35798413  0.01700087 -0.0919204  -1.2847025
 -0.47133908  0.1385404  -0.4777553   0.44802606 -0.36886874 -0.19367333
 -0.29381227  0.5132951   0.03027404  0.4360745  -0.346868    0.43052202
 -0.00195013  0.7621253   0.72553986  0.50174034  0.40351948 -0.09665064
  0.26836997 -0.2649787  -0.15209909  0.20127375 -0.34548208  0.0809925
 -0.1799691  -0.46557763  0.2010076   0.41387406  0.25004822 -0.754404
 -0.45820618  0.20866275 -0.5256579  -0.57522416  0.15182143  0.47302502
 -0.36097413  0.4817785  -0.01028636 -0.80419105 -0.18030238 -0.1099048
  0.31685472 -0.31416872  0.45719147 -0.5523643   1.0911912  -0.8535213
 -0.7756615   0.08467204 -0.32858485 -0.15003923  0.05359713  1.2138075
  0.4640943  -0.01702427 -0.27820748  0.9564948  -0.788265    0.8772588
  0.30226076 -0.47790876 -0.02667588 -1.4277703   0.7659581  -0.01727921
 -0.948748    0.76773226 -0.57979614 -0.705557    0.14335811  0.58853275
  0.23661715  0.4145093   0.27990836 -0.28716484 -0.52054685  0.23118585
  0.188886    1.0038822  -0.55641115  0.04579499  0.3341356   0.7638513
 -0.09324153  0.05003256 -0.43792892  1.0245154 ]"
321,David James Brown,1568,0,80,"Brown received his primary and secondary school education in      Delmar, New York Delmar, New York, and then studied at the      University of Pennsylvania University of Pennsylvania,      Moore School of Electrical Engineering Moore School of Electrical Engineering where he received a BBrown received his primary and secondary school education in      Delmar, New York Delmar, New York, and then studied at the      University of Pennsylvania University of Pennsylvania,      Moore School of Electrical Engineering Moore School of Electrical Engineering where he received a BBrown received his primary and secondary school education in      Delmar, New York Delmar, New York, and then studied at the      University of Pennsylvania University of Pennsylvania,      Moore School of Electrical Engineering Moore School of Electrical Engineering where he received a BBrown became a member of the research staff in the Computer Science Department at      Stanford University Stanford University in 1981, where he helped develop the research edition of the      SUN workstation SUN workstation with      redirect    Andreas Bechtolsheim Andreas Bechtolsheim, prior to the establishment of      Sun Microsystems Sun MicrosystemsBrown became a member of the research staff in the Computer Science Department at      Stanford University Stanford University in 1981, where he helped develop the research edition of the      SUN workstation SUN workstation with      redirect    Andreas Bechtolsheim Andreas Bechtolsheim, prior to the establishment of      Sun Microsystems Sun Microsystems","[ 0.09518516  0.23728445  0.04443712  1.0839105  -0.8338867  -0.36787996
 -0.32015964  0.10118531  0.23965901  0.14503795  0.1411401  -0.87871474
 -0.408756   -0.01949654 -0.58331645  0.59535533 -0.3018612  -0.08795556
  0.10821007  0.39242566 -0.03522902  0.20196925 -0.18661667  0.651362
  0.22583045  0.34984735  0.7248237   0.09435218  0.20119703 -0.04600951
  0.17366157 -0.03823827  0.16004582 -0.08885226 -0.4560472  -0.38511267
  0.02706472 -0.6544888   0.31962356  0.63995886  0.3798912  -0.72659445
 -0.5933664   0.5150784  -0.38627085 -0.16269138  0.1482388   0.44501105
 -0.701237    0.25570366 -0.17154448 -0.45611548 -0.06610566  0.6016112
  0.20095377  0.1779062   0.4235743   0.00797739  1.2618502  -0.7810088
 -0.71658397  0.22598597  0.11156423 -0.35498148  0.19868886  1.023448
  0.4655469   0.30967692 -0.35828698  1.0135134  -0.80236375  0.9152077
  0.25274584 -0.49872985 -0.01024257 -0.8579954   0.5548826   0.14980504
 -1.0092266   0.64033884 -0.47202942 -0.4148449  -0.06846829  0.46800947
  0.3773976   0.18746635  0.09295408 -0.3628061  -0.3524476   0.27764854
 -0.13682291  0.74878025 -0.5845907  -0.1922552   0.18057048  0.6572906
 -0.1702124  -0.3992194  -0.04117899  0.90085423]"
322,Rasmus Lerdorf,1385,0,24,,
323,Juris Hartmanis,1492,1,52,"They first moved to      Germany, where Juris Hartmanis received the equivalent of a master's degree in physics from the      University of Marburg University of MarburgIn 1989, Hartmanis was elected as a member into the      National Academy of Engineering National Academy of Engineering for fundamental contributions to computational complexity theory and to research and education in computing","[-3.55910324e-02  2.05472380e-01 -1.71699584e-01  5.94663084e-01
 -7.26254821e-01 -3.08147043e-01 -8.81421268e-02 -1.30393893e-01
 -1.27485041e-02  7.89710522e-01 -1.56995673e-02 -5.16203880e-01
 -4.52796757e-01 -3.77647102e-01 -7.09896266e-01  7.23572314e-01
 -2.45619774e-01 -3.21572661e-01  2.50649273e-01  3.45779806e-01
 -6.85829520e-02  1.90200388e-01 -4.26086396e-01  7.46791303e-01
  2.35015318e-01  1.93217710e-01  9.20548677e-01  4.89211380e-01
  2.51740813e-01 -3.09732318e-01  6.06838048e-01 -2.45847814e-02
  1.13188595e-01  2.20805109e-01 -4.75595593e-01 -1.48657247e-01
 -5.01931272e-02 -6.51924431e-01  5.92000008e-01  3.64734650e-01
  2.70838231e-01 -6.29653394e-01 -3.83477569e-01  2.35083506e-01
 -2.82941163e-01  3.29597592e-01  3.25882226e-01  2.08438307e-01
 -2.54915446e-01  4.82278258e-01 -6.92125261e-02 -6.94050550e-01
 -1.50789926e-02  5.49003124e-01 -1.12818472e-01 -2.75108397e-01
  3.78211707e-01 -1.73128188e-01  1.24760449e+00 -9.65569258e-01
 -1.23323247e-01 -3.15544635e-01  8.84248167e-02 -5.66427767e-01
  6.27822280e-01  1.17651987e+00  6.14236593e-01  3.71262819e-01
 -1.17684365e-03  5.77305436e-01 -7.32370555e-01  7.18325555e-01
  1.04815848e-01 -1.12018302e-01  2.54950881e-01 -6.22752249e-01
  2.15706483e-01  8.36085796e-01 -8.13240767e-01  6.48541629e-01
  1.93343386e-01 -1.05589665e-01  2.40779117e-01  6.66281939e-01
  3.08791339e-01  3.52117777e-01 -4.78303991e-02 -5.55204332e-01
 -8.56949627e-01 -3.67661476e-01 -6.27989411e-01  7.34767139e-01
 -6.25126243e-01 -1.57700516e-02  2.52937019e-01  7.29375124e-01
  1.14162572e-01 -3.63292664e-01 -7.45269358e-02  8.52615178e-01]"
324,David Francis Bacon,1745,1,53,He took a sabbatical in 2009 as a visiting professor of computer science at      redirect    Harvard,"[-7.41268471e-02 -1.62127465e-01  1.66481972e-01  1.01261008e+00
 -3.36564958e-01  3.48503781e-05 -5.28705776e-01  4.35907811e-01
  2.81936407e-01 -8.94440264e-02  6.43656373e-01 -6.63980186e-01
  3.86600778e-03  1.41828552e-01 -6.58593833e-01 -2.10865259e-01
 -6.23532951e-01 -3.88634466e-02  2.23541841e-01  5.38079143e-01
 -3.58058989e-01  3.56190979e-01 -5.48401237e-01  1.97094843e-01
  4.13636833e-01 -2.76031494e-02  1.28369772e+00 -6.37183934e-02
  1.56380177e-01 -4.69117582e-01  6.09614477e-02 -5.18601179e-01
  4.24933940e-01 -1.14209682e-01 -6.23074919e-02  3.87911975e-01
  4.18998674e-02 -4.24787372e-01  7.43651856e-03  5.32340407e-01
  5.17333671e-02 -1.00678182e+00 -4.58539993e-01  2.83511907e-01
 -1.80036232e-01 -2.69612903e-03  9.28275228e-01  4.34334099e-01
 -4.65376407e-01  5.93914211e-01  2.67554432e-01 -4.76154268e-01
  3.69370542e-02  1.89344272e-01  2.92996228e-01  9.77765396e-02
  3.06268007e-01 -5.68741187e-02  1.14902472e+00 -6.92585289e-01
 -1.74719021e-01  2.65325546e-01  1.41922519e-01 -8.29862177e-01
  1.08430989e-01  1.02065265e+00  5.68715513e-01  1.90579087e-01
  2.56711781e-01  9.94494736e-01 -2.21435279e-01  3.55843097e-01
 -5.22561278e-03 -7.96803534e-01 -1.67065579e-02 -9.12720919e-01
  3.72597486e-01  1.41850650e-01 -9.00389314e-01  6.67261109e-02
 -9.12075698e-01 -3.87830615e-01 -1.73057303e-01  1.01218069e+00
  2.51721412e-01  2.94373214e-01 -1.30650634e-03 -3.10818460e-02
 -7.75028765e-02  7.30327666e-01 -1.11595407e-01  5.69503367e-01
 -6.97853744e-01 -3.03660154e-01 -2.88106918e-01  9.34868515e-01
  9.09227785e-03 -1.08583204e-01  3.83153766e-01  8.70458663e-01]"
325,Charles P. Thacker,1602,6,17,"In 1983, Thacker was a founder of the      DEC Systems Research Center Systems Research Center (SRC) of      Digital Equipment Corporation Digital Equipment Corporation (DEC), and in 1997, he joined      Microsoft Research Microsoft Research to help establish      redirect    Microsoft Research Cambridge Microsoft Research Cambridge in      Cambridge,      EnglandAfter returning to the United States, Thacker designed the      Computer hardware hardware for Microsoft's      Microsoft Tablet PC Tablet PC, based on his experience with the  interim      Dynabook  at PARC, and later the   ","[-0.03763893  0.16938446  0.17790626  0.6297519  -0.565346   -0.24600863
  0.21112846 -0.5340989   0.6841484   0.07836797  0.28589788 -0.5172756
 -0.18933778 -0.6199713  -0.77501553  0.02819451 -0.2810992   0.54494816
  0.40499756  0.5638655  -0.18511485  0.40714064  0.15581068  0.31297895
 -0.23712693  0.6927792   0.78088844 -0.01649773  0.62207705  0.01183195
  0.42692816 -0.02241717  0.31133643 -0.45711777 -0.28257167 -0.6740701
  0.35611606 -0.5906499   0.38253474  0.32694986 -0.083616   -1.2651026
 -0.3396028   0.2154008   0.01573244  0.34909573 -0.07363722  0.5824802
 -0.5083492  -0.25855803 -0.02712496 -0.09420511  0.46416774  0.50854015
 -0.09111223  0.19670822 -0.17036611 -0.43172136  0.9179885  -0.53901213
 -0.28518185  0.2309574  -0.07025257  0.03988544  0.5764823   0.6141941
  0.21864492  0.63318956 -0.16097233  0.73103476 -0.6173993   0.71638775
  0.26742285  0.08252701  0.4619727  -0.35878155  0.00625799  1.1022587
 -0.90815055 -0.19717148  0.3711979  -0.36237225 -0.29042387  0.9559552
  0.7092175  -0.69798905 -0.28726614  0.368898    0.03223123  0.2807903
 -0.29136705  0.85188437 -0.72864187 -0.31596994  0.24099234  0.7269558
 -0.05783413 -0.35628217  0.2373196   0.5703206 ]"
326,Zohar Manna,1039,4,40,"He attended      Carnegie Mellon University Carnegie Mellon University and earned his      Doctor of Philosophy Doctor of Philosophy (PhD) in      Computer science computer science in 1968Manna returned to Israel in 1972 as a professor of applied mathematics at the      Weizmann Institute of Science Weizmann Institute of ScienceHe authored nine booksWith      Amir Pnueli Amir Pnueli, he authored an      redirect    Unfinished work unfinished trilogy of textbooks on temporal logic and verification of reactive systemsHe supervised 30 doctoral students, including      Nachum Dershowitz Nachum Dershowitz,      Adi Shamir Adi Shamir,      Thomas Henzinger Thomas Henzinger,      Pierre Wolper Pierre Wolper, and   ","[-1.69823125e-01  1.42324656e-01  3.22006941e-01  4.66173291e-01
 -1.57488167e-01 -4.70484979e-03 -1.73295692e-01  5.40429652e-01
 -5.86392805e-02  2.60051340e-01  3.20045412e-01 -5.60978115e-01
 -2.95835942e-01 -2.16979310e-01 -3.74823749e-01  3.14939171e-01
 -5.41048765e-01  9.17723682e-03  4.31047417e-02  4.96168196e-01
 -2.21397713e-01 -9.28412974e-02 -3.79651427e-01  5.02647221e-01
  1.85686290e-01  1.25253320e-01  8.44848156e-01 -3.00647795e-01
  2.59112045e-02 -4.32113893e-02  2.08395556e-01 -2.34228522e-01
  9.99987945e-02 -2.61760533e-01 -2.58873343e-01  1.12108402e-01
  7.61484206e-02 -1.61245435e-01  3.05768907e-01  4.91852969e-01
  1.48789614e-01 -7.86050498e-01 -2.20599145e-01  3.14335823e-01
 -1.88857689e-01 -1.34485647e-01  3.56289327e-01  1.25464857e-01
 -2.81219423e-01  1.22096665e-01  3.54922086e-01 -2.62805194e-01
 -3.57997596e-01  9.27370861e-02 -1.67413935e-01  5.39169684e-02
  4.78232563e-01 -1.17460012e-01  7.30461001e-01 -6.62241638e-01
 -2.86419094e-01  1.90208387e-02  1.27871707e-01 -3.18997413e-01
  3.95489246e-01  7.43319333e-01  3.96170825e-01  1.64027035e-01
 -1.33580863e-01  1.00982237e+00 -4.69893724e-01  9.38696086e-01
  2.00065598e-01 -1.08647406e-01  2.75231190e-02 -7.43762553e-01
  7.20247030e-01  1.43798262e-01 -6.68525577e-01  1.80495068e-01
 -4.98836577e-01 -2.32740715e-01 -1.60730153e-01  6.05357468e-01
  5.84154986e-02  3.81560206e-01  1.54411703e-01  2.30697319e-02
 -2.53499180e-01  2.15577096e-01 -3.15106750e-01  6.75496280e-01
 -3.23474050e-01 -2.78764367e-01  8.46544805e-04  7.39770114e-01
  1.92448139e-01 -1.65496364e-01  2.71297932e-01  2.66468614e-01]"
327,Cecilia Berdichevsky,1965,0,79,"At the age of 31, Berdichevsky began her studies of mathematics at the      University of Buenos Aires University of Buenos Aires with      Manuel Sadosky Manuel SadoskyAt the age of 31, Berdichevsky began her studies of mathematics at the      University of Buenos Aires University of Buenos Aires with      Manuel Sadosky Manuel SadoskyThe newly graduated Berdichevsky studied computing from the visiting English software engineer      Cicely Popplewell Cicely Popplewell (famous for having worked with      Alan Turing Alan Turing in      Manchester) and with the Spanish mathematician   Based on Berdichevsky's progress in Argentina, in 1962 she was one of two people          awarded scholarships to continue studies at the      University of London University of London's Computer Unit for five months, followed by the same length of time at a French institutionBased on Berdichevsky's progress in Argentina, in 1962 she was one of two people          awarded scholarships to continue studies at the      University of London University of London's Computer Unit for five months, followed by the same length of time at a French institutionIn addition, Berdichevsky worked as Head of Practical Works of Numerical Calculus I, where the tenured professor was her mentor, Manuel Sadosky who was then dean of the Faculty of Exact Sciences of the      University of Buenos Aires University of Buenos Aires from 1957 to 1966In addition, Berdichevsky worked as Head of Practical Works of Numerical Calculus I, where the tenured professor was her mentor, Manuel Sadosky who was then dean of the Faculty of Exact Sciences of the      University of Buenos Aires University of Buenos Aires from 1957 to 1966","[ 7.59725720e-02 -2.49757431e-02  1.03881598e-01  6.96517289e-01
 -3.17684293e-01 -6.12146705e-02 -2.36028999e-01  1.33285776e-01
  2.72057205e-01  3.04604441e-01  3.87748070e-02 -3.35035533e-01
 -3.78874630e-01  8.25385228e-02 -5.36050737e-01  7.60409653e-01
 -2.32515158e-03 -2.63832420e-01  8.17391872e-02  5.28056800e-01
  6.17355108e-02  3.73464108e-01 -2.52566904e-01  2.46180803e-01
  3.53030294e-01  6.96411669e-01  8.61335456e-01 -1.89754665e-02
  3.77522498e-01 -5.35130441e-01  1.21236108e-01 -3.20725828e-01
  5.95949998e-04 -6.86121807e-02 -4.70759451e-01 -9.89694744e-02
  1.06614634e-01 -6.13410592e-01  3.05073857e-01  5.01420915e-01
  4.31985736e-01 -3.74631077e-01 -3.62758726e-01  1.23930782e-01
 -4.09786373e-01 -6.04479834e-02  2.42350906e-01  1.47030145e-01
 -3.29741567e-01  3.87162715e-01  3.26314569e-01 -6.42405003e-02
 -1.20707333e-01  3.97993803e-01  2.75158525e-01 -6.96041137e-02
  2.98299640e-01 -2.53992945e-01  1.06739759e+00 -4.39824909e-01
 -2.79734462e-01  8.12771544e-02  2.56299794e-01 -2.97867388e-01
  3.66043836e-01  8.37991655e-01  4.54513013e-01  5.71543455e-01
 -1.11507691e-01  4.95475471e-01 -1.97037220e-01  6.94257617e-01
 -1.00033417e-01 -6.81994975e-01  2.64296710e-01 -8.52495551e-01
  2.07341269e-01  4.60212678e-01 -7.20952809e-01  6.40222967e-01
 -3.39166224e-01 -1.45314291e-01 -2.04425380e-02  6.38549685e-01
  1.48537368e-01  4.62036431e-01  4.28766236e-02 -2.64094025e-01
 -4.29558367e-01 -6.90507293e-02 -2.33470440e-01  6.06836438e-01
 -2.97117203e-01 -3.32139373e-01  9.79213566e-02  4.16776955e-01
  2.49525562e-01 -1.28574535e-01  1.06790170e-01  3.79843771e-01]"
328,Peter Jay Weinberger,1902,0,27,"When Peter Weinberger was promoted to head of Computer Science Research at Bell Labs, his picture was merged with the AT","[ 0.04601915 -0.13169545  0.31705952  0.6041074  -0.591598   -0.13920756
 -0.5636488  -0.0677449   0.74116695 -0.02154715  0.659489   -0.57345057
  0.28986397  0.47706196 -0.41222167 -0.13010828  0.06145588 -0.3800091
 -0.01070747  0.7703511  -0.01403468  0.5057443   0.29221416  0.22393543
  0.5227782   0.4889248   1.0331583  -0.49433336  0.7421932  -0.5387616
  0.13748434 -0.04123053  0.1395539  -0.17218052 -0.19680586  0.06613402
 -0.3308067  -0.79006475  0.00310403  0.5253938   0.34469303 -0.6253997
 -0.14179295 -0.07189823 -0.07851934 -0.02257396 -0.19823071  0.17306425
 -1.1014796   0.25052693  0.22489332  0.06732959 -0.28790015  0.22338845
  0.5598136   0.17268524  0.32565045 -0.5556778   1.2040251  -0.88670594
 -0.3831683  -0.04164207  0.22920127  0.08711731  0.23656523  0.6718934
  0.27688238  0.3151918   0.26217264  0.617308    0.07314423  0.04740518
 -0.07760698 -0.4339814   0.6128629  -0.32128772  0.5628955   0.41351977
 -1.1560328   0.5503799  -0.07484195 -0.5648244   0.23274486  1.1861814
  0.4549739  -0.11540344 -0.37003455 -0.05909961 -0.24090616  0.6936478
 -0.335877    0.59359443 -0.31847245 -0.5841699  -0.07682909  0.9577125
 -0.10725509 -0.2552518   0.22807467  0.37911516]"
329,Roberto Pieraccini,1780,0,66,"He obtained a degree in electrical engineering from the      University of Pisa University of Pisa in 1980 with a thesis on the equalization of data channelsAfter his graduation, between 1981 and 1989 he worked at      CSELT (Centro Studi e Laboratori Telecomunicazioni), the then Italian telephone company's research center, at      Bell Labs Bell Labs (Murray Hill, NJ) between 1990 and 1995, and   After his graduation, between 1981 and 1989 he worked at      CSELT (Centro Studi e Laboratori Telecomunicazioni), the then Italian telephone company's research center, at      Bell Labs Bell Labs (Murray Hill, NJ) between 1990 and 1995, and   He is the author of The Voice in the Machine,          published by      MIT Press MIT Press in 2011, a general audience book on the history, technology, and the business of computers that understand speechOn December 10, 2019, he received a Doctor in Science honorary degree           from the      redirect    Heriot Watt University Heriot Watt University of Edinburgh","[ 0.1524117   0.13369086  0.02704318  0.6835184  -0.50962067 -0.21730351
 -0.25024006  0.0817434   0.3216586   0.1386569   0.35650113 -0.3983518
 -0.28549764  0.11621436 -0.63588375  0.40549365 -0.325623    0.06632292
  0.18077388  0.65336573 -0.0507444   0.29230595  0.10127935  0.30176818
  0.0114702   0.4235307   0.6339949   0.00719167  0.1252079  -0.12038726
  0.260092   -0.08225235  0.10270666 -0.10293688 -0.4898765  -0.17434256
  0.08559014 -0.3362508   0.1284441   0.5307968   0.38462958 -0.8490886
 -0.54203236  0.0249943  -0.06940527 -0.05959654  0.11583809  0.01284499
 -0.27890474  0.25305897  0.16238478 -0.10710172 -0.08395123  0.45768437
  0.08135495  0.34209186  0.28103602 -0.02826928  0.945954   -0.6628949
 -0.34668785  0.0349609   0.22220397 -0.13322875  0.270269    0.7391108
  0.28808632  0.2969121   0.01244005  0.9292393  -0.33872843  0.7480445
  0.12254158 -0.4568114   0.33124477 -0.8082345   0.14638261  0.22629519
 -0.7942075   0.50125766 -0.20638315 -0.48634487 -0.20909533  0.5061874
  0.3826358   0.14800525  0.06480467 -0.01847287 -0.2602651   0.23468983
 -0.16167463  0.48373145 -0.38716093 -0.43136278 -0.11674511  0.5718703
  0.06894138 -0.1999577   0.32141113  0.5039305 ]"
330,Charlotte Froese Fischer,2318,7,65,"She served on the mathematics faculty of the University of British Columbia from 1957 till 1968, where she introduced numerical analysis and computer courses into the curriculum and was instrumental in the formation of the Computer Science DepartmentFroese Fischer spent  at the      Harvard College Observatory Harvard College Observatory, where she extended her research on structure calculationsFroese Fischer is the author of over 300 research articles on computational atomic theory, many of which have had reaching impact in the area of structure calculationsFroese Fischer is currently an emerita research professor of computer science at      Vanderbilt University Vanderbilt University and a Guest Scientist in the Atomic Spectroscopy Group at      redirect    NISTFroese Fischer is currently an emerita research professor of computer science at      Vanderbilt University Vanderbilt University and a Guest Scientist in the Atomic Spectroscopy Group at      redirect    NISTFroese Fischer is currently an emerita research professor of computer science at      Vanderbilt University Vanderbilt University and a Guest Scientist in the Atomic Spectroscopy Group at      redirect    NIST","[-0.33773857 -0.13891152  0.21593527  0.73101    -0.6102131  -0.4428227
 -0.1372329  -0.109037    0.30589712  0.03408561  0.41252327 -0.50583655
 -0.2375092   0.01614199 -0.6817886   0.67032164 -0.28318754 -0.19244488
 -0.0539824   0.5683329   0.03276946  0.17295864 -0.16629054  0.2251891
  0.12635131  0.04842462  0.9623382  -0.13008423  0.10430527 -0.21375121
  0.3769227  -0.14773047  0.25828195 -0.14599843 -0.2676438  -0.0133385
  0.01425006 -0.29670945  0.28533402  0.5931168   0.38949478 -0.8341873
 -0.29343334  0.2741436  -0.08394311 -0.20837936  0.17812796  0.11875048
 -0.41213554  0.61776114 -0.13159093 -0.08613326  0.22758107  0.31247437
  0.12416526  0.05870315  0.22476138 -0.07222199  0.94172376 -0.3446668
 -0.33120608 -0.07726615  0.11063097 -0.14707376  0.21597414  0.9593359
  0.5703383   0.33022863 -0.33895522  0.96168447 -0.57743955  0.47798976
  0.13885458 -0.24693695  0.37523636 -0.6191315   0.27894828  0.42353162
 -0.6440662   0.5109642  -0.04617876 -0.22989585  0.13618253  0.7266021
  0.15873046  0.1726506  -0.227683   -0.09243107 -0.1836315   0.33971348
 -0.5545905   0.65904194 -0.5002573  -0.17261788  0.04260946  0.9007735
  0.10083452 -0.30836302  0.23830147  0.7172014 ]"
331,Steve Hoberman,1363,0,31,He joined      redirect    Bell Communications Research Bell Communications Research (Bellcore) in 1990Hoberman's first book was published in 2001,"[-0.18750952  0.40807495  0.0511267   0.82274634 -0.60383075 -0.6212522
 -0.4622552  -0.22417015  0.67211205  0.35753778  1.1044471  -0.06839358
 -0.22302659 -0.67812926 -0.69022954 -0.5226315  -0.8753939   0.17349157
  0.15286188  0.98502654 -0.5675508   0.34937936 -0.02781966  0.3981547
 -0.14269085  0.7869527   0.3407738  -0.36870283  0.71150655  0.12242094
  0.46996623 -0.00301254  0.5143262  -0.25431213 -0.23933052  0.32025814
  0.21417293 -0.5894849   0.27833477  0.55493134  0.5876026  -0.77073365
 -0.7097079   0.45708477 -0.5386116   0.03527734 -0.5637271   0.15595211
 -0.0278446   0.37213218 -0.05035167  0.12976336 -0.02847163  0.5253045
  0.33766842  0.5683464   0.22881444 -0.5985984   0.9191197  -0.65881413
 -0.26228762  0.3109005   0.2972978   0.0898525   1.4702412   0.18556544
  0.5157711   1.0790137  -0.14946494  1.076283   -0.2371205   0.5395841
 -0.29626936 -0.00735335  0.3895645  -0.60264194  0.52295893  0.4672411
 -0.3602406  -0.24626796 -0.5141724  -0.71834546 -0.36463293  1.4329808
 -0.10135341  0.4428968  -0.02615551  0.49162832 -0.18710817  0.6430085
 -0.83593047  0.37582952 -0.91801095 -0.62912595  0.61429983  0.41152903
  0.13499711 -0.9009055   0.8565778   1.0673794 ]"
332,Leslie Valiant,1357,6,52,"Valiant's 2013 book is      Probably approximately correct learning Probably Approximately CorrectValiant's 2013 book is      Probably approximately correct learning Probably Approximately CorrectValiant started teaching at      Harvard University Harvard University in 1982 and is currently the TValiant started teaching at      Harvard University Harvard University in 1982 and is currently the TFor transformative contributions to the theory of computation, including the theory of probably approximately correct (PAC) learning, the complexity of enumeration and of algebraic computation, and the theory of parallel and distributed computing","[-1.81493878e-01 -4.62897629e-01  1.06819116e-01  4.64042097e-01
 -5.51717401e-01 -3.58496785e-01  8.89111892e-04 -2.91523010e-01
 -2.80735493e-01  9.05341879e-02  1.31739005e-01 -4.31397736e-01
 -6.43432677e-01 -1.04466252e-01 -8.25567245e-01  1.29598105e+00
 -2.37590089e-01 -3.61289889e-01  3.00189018e-01  5.28935313e-01
 -9.30072740e-02 -5.38108796e-02 -1.81845412e-01  2.79406756e-01
  5.60198277e-02  2.27972090e-01  8.10137689e-01 -9.35014337e-02
  2.83606321e-01 -1.99647844e-01 -1.36812374e-01 -4.91422117e-01
  4.19217348e-02 -2.53760129e-01 -3.96850437e-01 -3.82089838e-02
 -2.74387956e-01 -3.50450307e-01  4.18398768e-01  5.92739820e-01
  2.65279949e-01 -6.42397761e-01  3.40752065e-01  2.35005081e-01
 -1.14546269e-01  1.60007611e-01  8.78957510e-02  1.39699906e-01
 -5.50907075e-01  3.87127429e-01 -6.31932914e-02  7.58692762e-03
 -4.79611233e-02  3.82122576e-01  1.12038426e-01  1.26627296e-01
  8.03507417e-02 -1.91832557e-01  7.86402524e-01 -1.82058096e-01
 -1.20612092e-01 -3.26563030e-01 -5.35579622e-02 -6.38907030e-02
  1.75923705e-01  1.23433053e+00  5.00797689e-01  2.32917100e-01
 -2.20494360e-01  3.37772489e-01 -5.93294978e-01  3.79217476e-01
 -3.36382017e-02 -3.12062472e-01  2.73041397e-01 -7.16434121e-01
  2.57679522e-01  2.39844993e-01 -5.29455662e-01  8.32299352e-01
  3.52768183e-01 -1.06043734e-01 -3.04630697e-01  5.41967988e-01
  3.32489818e-01  4.17721748e-01 -2.71857470e-01  2.35477179e-01
 -4.62431133e-01 -1.44932315e-01 -7.22952843e-01  9.61770475e-01
 -4.95993465e-01  1.37247875e-01  5.27357198e-02  5.05113363e-01
 -2.49245182e-01 -2.51316816e-01  1.62136286e-01  8.87054861e-01]"
333,Jochen Liedtke,1337,0,86,"In the s Liedtke studied for a diploma degree in mathematics at the      Bielefeld University Bielefeld UniversityIn the s Liedtke studied for a diploma degree in mathematics at the      Bielefeld University Bielefeld UniversityIn April 1999, he took up the System Architecture Chair at the      redirect    University of Karlsruhe University of Karlsruhe","[-0.10877879 -0.5051839  -0.10298727  0.9455581  -0.90286446 -0.28176355
 -0.27969575  0.2302599   0.19433326  0.23157027  0.2797787  -0.74905795
 -0.14169556  0.08503921 -0.85586387  0.9649846  -0.3169463  -0.10235367
  0.17036195  0.2922947   0.22307043  0.35807005 -0.3032598   0.846973
  0.33966526  0.34101236  0.91828936  0.0414662   0.18667097 -0.2243163
 -0.10443261 -0.4843605   0.13256936  0.18321615 -0.4817628   0.22357778
  0.1734037  -0.6277226   0.1080537   0.91740024  0.45957637 -0.87607545
 -0.41096056  0.68166703 -0.22650337  0.0113785   0.4057576   0.33014855
 -0.5169271   0.8521492  -0.3062642  -0.46582684  0.545669    0.44245985
  0.18582681 -0.1050842   0.23134342  0.02335882  1.2634047  -0.47334456
 -0.5973035  -0.17565033  0.15284608 -0.67767924  0.16048361  1.2432227
  0.5435496   0.6572719  -0.02806536  1.0712636  -0.5558896   0.49534503
 -0.01634653 -0.7121851   0.23832627 -1.0087883   0.10904656  0.35661525
 -0.97584224  0.95809156 -0.4703331  -0.55160505 -0.01902409  0.574238
  0.72382516  0.7723993   0.14787027 -0.20148304 -0.8425415   0.09098491
 -0.4892671   0.8874529  -0.6218171  -0.482524   -0.06320684  0.62696135
  0.3327929  -0.26388943 -0.06356169  0.9288509 ]"
334,Edmund M. Clarke,1386,1,95,,
